NDVI,WET,NDBSI,LST,RESI
0.464964,0.838089,0.650456,0.534615,0.311239
0.530447,0.767606,0.639314,0.444827,0.364488
0.829893,0.878506,0.351053,0.386741,0.707917
0.911945,0.9451,0.0791407,0.233977,0.934939
0.547592,0.791828,0.652219,0.41011,0.376691
0.803552,0.875177,0.393523,0.319327,0.683748
0.763183,0.847238,0.464129,0.375131,0.609792
0.568654,0.892474,0.464585,0.38874,0.502302
0.46879,0.872161,0.617897,0.42126,0.35665
0.796436,0.897305,0.318904,0.321367,0.721067
0.758878,0.856752,0.414525,0.349653,0.639641
0.467581,0.839129,0.634456,0.502448,0.32767
0.575481,0.898502,0.426518,0.390879,0.526451
0.658896,0.838374,0.529296,0.421802,0.50661
0.663165,0.856912,0.474035,0.382591,0.547923
0.364723,0.84013,0.653472,0.4608,0.268266
0.782332,0.852297,0.42959,0.391286,0.636105
0.44713,0.814429,0.695818,0.473955,0.286881
0.798478,0.879515,0.363106,0.360585,0.689217
0.91263,0.925503,0.124604,0.250739,0.905942
0.631042,0.901696,0.385099,0.361452,0.585714
0.368083,0.826359,0.695508,0.380379,0.262511
0.411256,0.867545,0.626974,0.398165,0.323674
0.823555,0.881726,0.340217,0.348784,0.717968
0.729881,0.886561,0.409761,0.332569,0.632349
0.746786,0.838093,0.523549,0.340068,0.575213
0.566875,0.831255,0.606533,0.422163,0.413325
0.649545,0.876056,0.466065,0.363906,0.550178
0.775574,0.882581,0.370288,0.388715,0.667285
0.573724,0.881024,0.505584,0.496879,0.460792
0.742338,0.850102,0.479903,0.408183,0.583474
0.934571,0.887789,0.270807,0.28242,0.830797
0.53343,0.850901,0.601418,0.412312,0.401237
0.685032,0.822812,0.575619,0.54238,0.471213
0.529508,0.812805,0.617415,0.467503,0.37568
0.590996,0.85842,0.533756,0.34376,0.483723
0.717038,0.852857,0.491917,0.303951,0.583937
0.474581,0.815282,0.651696,0.417724,0.336883
0.484619,0.780438,0.692172,0.448899,0.311336
0.638449,0.87202,0.50803,0.353348,0.523452
0.457841,0.830161,0.632081,0.480519,0.326896
0.479235,0.854798,0.594821,0.417869,0.373597
0.566333,0.874068,0.533553,0.385029,0.463389
0.701291,0.883925,0.412194,0.321848,0.616875
0.894733,0.890495,0.278783,0.26737,0.807491
0.8859,0.903126,0.24598,0.245388,0.825543
0.87771,0.878328,0.332318,0.301725,0.761552
0.542228,0.801825,0.687784,0.427274,0.352497
0.859056,0.900339,0.272519,0.287768,0.787731
0.44736,0.806536,0.715293,0.494283,0.27186
0.712711,0.850714,0.479961,0.377397,0.572998
0.421748,0.809393,0.742041,0.492717,0.243951
0.340188,0.602402,0.798677,0.420832,0.161216
0.904136,0.928404,0.141497,0.289254,0.884883
0.799208,0.87603,0.400738,0.277986,0.685807
0.821993,0.895943,0.303845,0.403738,0.726849
0.93931,0.929108,0.110721,0.255257,0.927729
0.82363,0.896739,0.308106,0.291618,0.747898
0.366409,0.877684,0.628528,0.433523,0.291689
0.837862,0.902866,0.271011,0.297536,0.774948
0.636856,0.846681,0.578107,0.423808,0.468895
0.577522,0.869472,0.518198,0.415446,0.471264
0.436882,0.816173,0.673001,0.448623,0.298406
0.44351,0.842075,0.652652,0.488142,0.307689
0.439874,0.818344,0.691702,0.462749,0.287615
0.78457,0.861969,0.424044,0.309288,0.657597
0.66514,0.836929,0.522796,0.378661,0.521983
0.755878,0.856169,0.441809,0.365583,0.620307
0.583066,0.860053,0.537514,0.457765,0.454779
0.791156,0.855987,0.412092,0.381433,0.652646
0.69027,0.886852,0.411662,0.387231,0.598266
0.379694,0.823433,0.703802,0.514127,0.237742
0.850416,0.891348,0.305568,0.35892,0.750335
0.753243,0.835998,0.491688,0.390781,0.585375
0.4317,0.824187,0.697334,0.457647,0.281666
0.546176,0.866584,0.539404,0.572429,0.410938
0.440964,0.787657,0.732967,0.496653,0.256513
0.833301,0.896568,0.303972,0.346273,0.744624
0.428967,0.836206,0.639837,0.466084,0.310082
0.745177,0.892679,0.371096,0.390833,0.650413
0.662116,0.863496,0.505387,0.414725,0.525049
0.889912,0.899336,0.255048,0.310642,0.809633
0.434632,0.797485,0.729747,0.530231,0.248994
0.847103,0.903845,0.270085,0.302634,0.779712
0.47392,0.847921,0.612237,0.400123,0.36423
0.810925,0.885865,0.352604,0.301564,0.714148
0.409451,0.849749,0.688172,0.431387,0.281874
0.616756,0.854429,0.508422,0.427198,0.494568
0.60155,0.873611,0.489189,0.352932,0.512944
0.789784,0.868558,0.391134,0.327204,0.675034
0.715716,0.873696,0.417872,0.329593,0.619377
